Stop_ID,FIPS,mix_x,max_x,min_y,max_y
1_60172,530330319082008,-122.137779,-122.134651,47.441077,47.4432
1_60175,530330319082005,-122.150471,-122.149511,47.444371,47.445005
1_60174,530330319082002,-122.148875,-122.139402,47.441667,47.445039
1_60177,530330258043006,-122.169949,-122.160226,47.445656,47.455992
1_4290,530330067004031,-122.345957,-122.344794,47.632297,47.633152
1_21560,530330108003009,-122.362965,-122.359882,47.550097,47.559018
1_21570,530330099002024,-122.362898,-122.362181,47.559269,47.561089
1_16480,530330045001003,-122.320105,-122.317365,47.668575,47.669319
1_60180,530330258031012,-122.170106,-122.168676,47.445858,47.448655
1_27700,530330089001007,-122.287108,-122.286304,47.59792,47.599636
1_60185,530330258043013,-122.162607,-122.154039,47.445531,47.450369
1_19550,530330033004002,-122.387547,-122.386427,47.675935,47.677699
1_992,530330073003031,-122.334062,-122.332952,47.614055,47.614852
1_16450,530330036001026,-122.318709,-122.317365,47.673333,47.674162
1_27730,530330089001027,-122.289162,-122.287812,47.594047,47.594581
1_60153,530330319083000,-122.154039,-122.138948,47.444954,47.452332
1_60152,530330319083004,-122.150225,-122.145996,47.451088,47.454155
1_60155,530330319081002,-122.140941,-122.138779,47.449752,47.451834
1_60154,530330319083000,-122.154039,-122.138948,47.444954,47.452332
1_60151,530330319083001,-122.153916,-122.145175,47.4501,47.455755
1_60150,530330257022020,-122.163444,-122.1538,47.454516,47.456757
1_60157,530330319081000,-122.139797,-122.132053,47.446096,47.449855
1_60156,530330319081000,-122.139797,-122.132053,47.446096,47.449855
1_60159,530330319083005,-122.15417,-122.148042,47.444626,47.44923
1_60158,530330319071008,-122.132069,-122.128011,47.448851,47.45173
1_21590,530330099002012,-122.363363,-122.360195,47.559441,47.564772
1_16460,530330036001027,-122.318711,-122.317365,47.672267,47.673339
1_60166,530330319075012,-122.12784,-122.126125,47.441467,47.444366
1_60165,530330319075014,-122.131171,-122.126677,47.444046,47.44477
1_60164,530330319075002,-122.130107,-122.125158,47.445067,47.448108
1_56173,530330117004000,-122.282567,-122.279325,47.517036,47.522757
1_60163,530330319071003,-122.132457,-122.124708,47.447516,47.451705
1_60162,530330319071008,-122.132069,-122.128011,47.448851,47.45173
1_60161,530330319091008,-122.1542,-122.150471,47.443836,47.445531
1_27720,530330089001009,-122.287585,-122.286899,47.596536,47.597922
1_60168,530330319081013,-122.13414,-122.130326,47.440196,47.442735
1_60167,530330319081015,-122.130572,-122.128374,47.441312,47.443095
1_19530,530330033004010,-122.387588,-122.384743,47.673098,47.67383
1_28880,530330004012007,-122.360938,-122.359593,47.730509,47.732326
1_16430,530330036001022,-122.318705,-122.317365,47.674978,47.675839
1_2510,530330059004005,-122.370192,-122.368871,47.644306,47.645031
